"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1995:Q2","Next40",35,36,48,41.4,15,46.5,16.4,30.2,42,44.6,36.7,27.7
"1995:Q2","Bottom50",3.7,8.5,15.8,24,1.6,4.3,1.7,5.7,37.7,32.4,54.5,34.3
"1995:Q3","Top1",28.3,24.9,9.7,14.4,50.9,8.7,53.1,34.3,4.3,4.5,1,17.9
"1995:Q3","Next9",33.2,30.7,25.8,20.2,32.8,40.4,28.8,29.9,15.8,18.4,7.5,19.2
"1995:Q3","Next40",34.7,35.7,47.7,41.2,14.8,46.6,16.4,30.1,41.7,44.3,36.8,28
"1995:Q3","Bottom50",3.8,8.7,16.8,24.2,1.5,4.3,1.7,5.7,38.2,32.9,54.7,34.9
"1995:Q4","Top1",28.4,25,9.8,14.3,50.4,8.9,52.7,34.2,4.4,4.5,0.9,19.7
"1995:Q4","Next9",33.3,30.8,26,20.3,33,40,29,29.9,15.7,18.3,7.8,18.6
"1995:Q4","Next40",34.6,35.6,47.5,41.4,15.1,46.7,16.6,30.3,42,44.6,36.9,29
"1995:Q4","Bottom50",3.7,8.6,16.7,24.1,1.5,4.3,1.8,5.6,38,32.5,54.4,32.6
"1996:Q1","Top1",28.2,24.9,9.8,14.2,49.7,8.9,52.3,34,4.5,4.5,1.2,19.2
"1996:Q1","Next9",33.4,30.9,26.3,20.3,33.3,39.9,28.8,30.2,16,18.3,8,23
"1996:Q1","Next40",34.6,35.7,47.2,41.6,15.6,46.9,17.1,30.3,42.1,44.9,36.5,29
"1996:Q1","Bottom50",3.7,8.5,16.7,23.9,1.5,4.3,1.8,5.5,37.5,32.3,54.3,28.9
"1996:Q2","Top1",28.2,24.8,10.1,13.8,49.2,9,51.8,33.9,4.5,4.6,1.1,20.4
"1996:Q2","Next9",33.4,30.9,26,20.7,33.4,39.8,28.9,30.2,16.2,18.5,8.2,23.1
"1996:Q2","Next40",34.8,35.9,47.8,41.8,15.9,46.9,17.4,30.4,42.3,45.2,36.6,30
"1996:Q2","Bottom50",3.6,8.3,16.2,23.7,1.5,4.3,1.9,5.5,36.9,31.7,54.1,26.5
"1996:Q3","Top1",28.1,24.7,10.3,13.5,48.6,9.1,52,33.6,4.6,4.6,1.1,21.7
"1996:Q3","Next9",33.2,30.8,25.8,21,33.6,39.7,27.9,30,16.4,18.7,8.5,23.4
"1996:Q3","Next40",35.2,36.3,48.1,42,16.3,47,18.2,30.9,42.6,45.5,36.6,30.7
"1996:Q3","Bottom50",3.5,8.2,15.8,23.6,1.5,4.3,1.9,5.5,36.4,31.2,53.9,24.2
"1996:Q4","Top1",28.3,24.9,10.4,13.7,48.3,9.6,51.6,33.6,4.6,4.6,1,22.5
