"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2017:Q1","Bottom50",1191514,5677821,2770598,1191608,150668,639020,141556,784371,4486307,2323912,1960804,201592
"2017:Q2","Top1",29589605,30356432,3852659,807092,11976528,1814568,5756870,6148716,766827,492598,83366,190863
"2017:Q2","Next9",36258784,38866704,7909728,1020015,8105674,11794257,3220513,6816516,2607919,2179593,282539,145787
"2017:Q2","Next40",27524403,33775037,11181184,2209260,2714996,10826510,1463780,5379307,6250634,4778518,1307817,164299
"2017:Q2","Bottom50",1342002,5873675,2932851,1196385,152981,656897,150745,783818,4531673,2317927,1997687,216059
"2017:Q3","Top1",30138117,30901537,3922212,797600,12410482,1797215,5853708,6120319,763419,496712,82197,184510
"2017:Q3","Next9",36986896,39628581,8051690,1039226,8390779,11999595,3314471,6832820,2641684,2221219,281847,138618
"2017:Q3","Next40",28038059,34338788,11410469,2214119,2778877,10996374,1476145,5462804,6300729,4811144,1326317,163268
"2017:Q3","Bottom50",1406669,5985701,3001826,1202841,155814,680015,156370,788835,4579032,2316089,2041160,221783
"2017:Q4","Top1",31042164,31794900,4010065,790346,13141644,1768915,5975367,6108563,752736,500379,77434,174923
"2017:Q4","Next9",37887508,40592700,8137618,1066356,8856538,12232723,3468090,6831375,2705192,2258094,284758,162340
"2017:Q4","Next40",28771236,35151123,11647937,2228161,2890387,11185659,1480993,5717986,6379887,4840726,1358693,180468
"2017:Q4","Bottom50",1430889,6075249,3011018,1217249,161695,712935,165385,806967,4644360,2315175,2092161,237025
"2018:Q1","Top1",31267933,32018765,3999379,784245,13093630,1753367,6051905,6336239,750832,503290,78549,168993
"2018:Q1","Next9",38263105,40999961,8256782,1087840,8844973,12254905,3421155,7134306,2736856,2296198,277371,163286
"2018:Q1","Next40",28772295,35161064,11696077,2253892,2869997,11203068,1521800,5616231,6388769,4857850,1344168,186750
"2018:Q1","Bottom50",1571176,6206739,3128504,1230737,159239,712714,161967,813578,4635563,2293140,2094821,247602
"2018:Q2","Top1",31586789,32328448,4028048,780042,13285170,1726514,6131383,6377291,741659,507650,74305,159704
"2018:Q2","Next9",38961615,41736216,8431191,1112103,8978268,12387354,3634530,7192770,2774601,2340101,277370,157131
"2018:Q2","Next40",29051373,35501520,11862880,2276239,2887145,11304713,1509890,5660654,6450147,4891847,1361834,196466
"2018:Q2","Bottom50",1703552,6383657,3261927,1246951,159239,731673,174967,808901,4680105,2289873,2126190,264042
"2018:Q3","Top1",32300639,33038509,4092396,779554,13865762,1674772,6197766,6428259,737870,512363,71903,153604
"2018:Q3","Next9",39643348,42461060,8558246,1134311,9351876,12610913,3540490,7265224,2817712,2383286,279121,155305
"2018:Q3","Next40",29581197,36103433,12060483,2290712,2971184,11477571,1563837,5739646,6522236,4931572,1392384,198280
"2018:Q3","Bottom50",1730691,6481281,3313129,1263679,163305,769799,168340,803028,4750590,2296140,2183725,270726
"2018:Q4","Top1",30583787,31314930,4187599,749834,11784516,1693176,6236933,6662873,731144,515692,67386,148066
"2018:Q4","Next9",38260365,41089536,8604800,1169825,8094881,12199122,3554685,7466222,2829171,2416742,280936,131492
"2018:Q4","Next40",29187713,35766724,12299118,2332274,2611371,11147235,1596609,5780117,6579011,4958345,1420234,200433
"2018:Q4","Bottom50",1574848,6384107,3290363,1269728,139529,704390,168285,811812,4809259,2294342,2229591,285325
"2019:Q1","Top1",32842861,33578694,4342512,772548,13830064,1655358,6295557,6682653,735833,517473,69061,149299
"2019:Q1","Next9",40435786,43269327,8804196,1174059,9366302,12666195,3694349,7564227,2833541,2438992,274361,120187
"2019:Q1","Next40",30489643,37061351,12608454,2347771,2937525,11524806,1587423,6055372,6571708,4970962,1408996,191750
"2019:Q1","Bottom50",1656893,6457958,3229150,1293600,158771,768036,177804,830596,4801065,2284635,2236092,280337
"2019:Q2","Top1",33346904,34081221,4331699,775042,14152233,1625861,6374746,6821641,734318,521037,65699,147582
